0.00, 0.00
0.10, 0.04
0.20, 0.15
0.30, 0.32
0.40, 0.51
0.50, 0.71
0.60, 0.87
0.70, 0.97
0.80, 1.00
0.90, 0.95
1.00, 0.83
1.10, 0.65
1.20, 0.46
1.30, 0.27
1.40, 0.11
1.50, 0.02
1.60, 0.00
1.70, 0.07
1.80, 0.20
1.90, 0.37
2.00, 0.57
2.10, 0.76
2.20, 0.91
2.30, 0.99
2.40, 0.99
2.50, 0.92
2.60, 0.78
2.70, 0.60
2.80, 0.40
2.90, 0.22
3.00, 0.08
3.10, 0.01
3.20, 0.01
3.30, 0.10
3.40, 0.24
3.50, 0.43
3.60, 0.63
3.70, 0.81
3.80, 0.94
3.90, 1.00
4.00, 0.98
4.10, 0.88
4.20, 0.73
4.30, 0.54
4.40, 0.34
4.50, 0.17
4.60, 0.05
4.70, 0.00
4.80, 0.03
4.90, 0.13
5.00, 0.30
5.10, 0.49
5.20, 0.69
5.30, 0.85
5.40, 0.96
5.50, 1.00
5.60, 0.96
5.70, 0.85
5.80, 0.68
5.90, 0.48
6.00, 0.29
6.10, 0.13
6.20, 0.03
6.30, 0.00
6.40, 0.05
6.50, 0.18
6.60, 0.35
6.70, 0.55
6.80, 0.74
6.90, 0.89
7.00, 0.98
7.10, 1.00
7.20, 0.93
7.30, 0.80
7.40, 0.62
7.50, 0.42
7.60, 0.24
7.70, 0.09
7.80, 0.01
7.90, 0.01
8.00, 0.08
8.10, 0.22
8.20, 0.41
8.30, 0.61
8.40, 0.79
8.50, 0.92
8.60, 0.99
8.70, 0.99
8.80, 0.90
8.90, 0.75
9.00, 0.56
9.10, 0.37
9.20, 0.19
9.30, 0.06
9.40, 0.00
9.50, 0.02
9.60, 0.12
9.70, 0.27
9.80, 0.47
9.90, 0.66
10.00, 0.83
